keyword,remarks,
RESCUE,"#RescuePH Bonifacio, Cabanatuan City sa may looban, 4 people nakasampa nalang po sa table :( 1 child, 3 adults https://twitter.com/MarielTagaza/status/655743634810126337",
RESCUE,Please rescue po ang isang matandang babae na naiwan sa kanilang bahay sa Brgy Salmon Purok5 Cabanatuan city urgent po.tnx https://twitter.com/ZepedaRosalle/status/655749979680583680,
RESCUE,RT @Janmac1508: Kids already atop ceiling. Need rescueASAP. @ Libis Aduas Norte Cabanatuan City near Nery's Resort. @ProjectAgos,
RESCUE,@eehjeen Please help my uncle and his children stranded in Clamonte Aduas Sur Cabanatuan. Nasa double deck sila as of  https://twitter.com/eehjeen/status/655717608495288320,
RESCUE,"@Jayyps Please recue a family stranded at 500 Julo San Antonio Nueva Ecija, near a river. Please help them go a safer place. #LandoPH #RescuePH https://twitter.com/superjaypeee/status/655752720985362432",
RESCUE,Pls rescue my family at Hilltop subdivision lot 18 blk 7 10 people . 4 adults 1 child. Pls send rescuer asap. #RescuePH https://twitter.com/BryanOlano/status/655744081981665280,
RESCUE,"RescuePH Cadiz Street, Primavera Homes. 2 people are stranded, they cant get out of their house bcoz of the flood, ang bilis daw ng tubig https://twitter.com/MarielTagaza/status/655739776335794176",
RESCUE,@BryanOlano  @RescuePH Pls rescue my family at Hilltop subdivision lot 18 blk 7 CabanatuanNuevaEcija . 6 adults 1 child. Pls send rescuer asap. #RescuePH  https://twitter.com/BryanOlano/status/655752992231063552,
RESCUE,"#RescuePH Julo purok 4, San Antonio Nueva Ecija. (river side) please rescue people there last contact was made 8:30 pm lines are down https://twitter.com/kkaeustaquio/status/655750118277189632",
RESCUE,"177 Brgy. Sapang, Jaen, Nueva Ecija (near Crossing) 09261130354 15-20 people are stranded. Pls help! https://twitter.com/aimichiba/status/655739029413998595",
RESCUE,"@k_eustaquio:  #RescuePH Please! Thank you!  Please help JULO PUROK 4, SAN ANTONIO NUEVA ECIJA. (river side) Families are staying at the third floor of one house. Please send help. ",
RESCUE,"@masiling:  #RescuePH need help please send rescuers at 632 BRGY SAN MARIANO, SAN ANTONIO NUEVA ECIJA  ",
RESCUE,His friends are in need of rescuing! https://twitter.com/superjaypeee/status/655753888776065025,
RESCUE,"#66 Clamonte St. Please send help, both my grandparents are there. Chest deep flood. #RescuePH https://twitter.com/yoyoyza/status/655738066116587520",
RESCUE,Stranded family! https://twitter.com/k_eustaquio/status/655753741002407937,
FLOOD,TS Lando 2015: Pls rescue my family at Hilltop subdivision lot 18 blk 7 10 people . 4 adults 1 child. Pls send rescuer asap. #RescuePH https://twitter.com/BryanOlano/status/655744081981665280,
RESCUE,@k_eustaquio Families stranded on third floor of house https://twitter.com/k_eustaquio/status/655753985345761280,
RESCUE,Please go to Jolo San Antonio Nueva Ecija. Some families are stuck and stranded in their houses. Please help them https://twitter.com/superjaypeee/status/655748234778775554,
RESCUE,"@CharloteVentosa:  Please rescue the patients at ELJ Hospital, Bitas, Cabanatuan. Nasa roof na daw kasi. _�� #RescuePH #LandoPH @philredcross  https://twitter.com/CharloteVentosa/status/655742160705159168",
RESCUE,"Kapitan Pepe Subd. cor Vijandre, Cabanatuan City near NE Mall beside Merceditas Grill 09279934855 3 Adult 1 Child https://twitter.com/RNdrei_dc/status/655735481863311361",
RESCUE,"Pls hep all stranded people in Cabanatuan. In Villa Benita Subd, lagpas tao na baha. Pets are gone and probably dead. https://twitter.com/XOXOPIMPIMXOXO/status/655731152158785538",
RESCUE,"@romarjean:  Pahelp po. Pls send rescue to 257 sto tomas north jaen, nueva ecija.. Contact Angelina or Rodrigo Cullado 09268106921. Thank u. #RescuePH  https://twitter.com/romarjean/status/655756163825295360",
RESCUE,@lentulfo28 #RescuePH pls help resident of purok 6 brgy maugat san fernando nueva ecja kids on the roofs na thanks! https://twitter.com/lentulfo28/status/655755418426150912,
RESCUE,"Please retweet. Rescue needed in Valino St. Aduas Cabanatuan City. Family is trapped, aabot na daw po sa 2nd floor ang baha #RescuePH https://twitter.com/jonamarano/status/655713940094083072",
RESCUE,"@superjaypeee Please recue a family stranded at 500 Julo San Antonio Nueva Ecija, near a river. Please help them go a safer place. #LandoPH #RescuePH",
BRGY,"Gloomy skies, moderate winds, no more rain",
RESCUE,"Grace Macatangay, (0922) 895 5232, 389 clamonte libis aduas norte cabantuan city. #RescuePH https://twitter.com/CrossShinobi/status/655756351994368001",
RESCUE,"@NDRRMC_OpCen #RescuePH #LandoPH pls help our friends in 632 Brgy San Mariano, San Antonio, Nueva Ecija. Jennica 09273377646 @ProjectAgos https://twitter.com/goysmarasigan/status/655758206346506240",
RESCUE,"@eBayanihanTeam  #RescuePH need help please send rescuers at 632 BRGY SAN MARIANO, SAN ANTONIO NUEVA ECIJA  https://twitter.com/masiiing/status/655755456976019456",
RESCUE,@RescuePH Pls rescue my family at Hilltop subdivision lot 18 blk 7 CabanatuanNuevaEcija . 6 adults 1 child. Pls send rescuer asap. #RescuePH ,
RESCUE,Please rescue po ang isang matandang babae na naiwan sa kanilang bahay sa Brgy Salmon Purok5 Cabanatuan city urgent po.tnx,
RESCUE,SOSLance Reyes +63 916 223 1984 407 B santos street villa benita subdivision brgy H concepcion sr. #RescuePH #LandoPH @ProjectAgos @ndrmag https://twitter.com/armyypadilla/status/655765487440138240,
RESCUE,Please rescue po ang isang matandang babae na naiwan sa kanilang bahay sa Brgy Salmon Purok5 Cabanatuan city urgent po.tnx  https://twitter.com/ZepedaRosalle/status/655749979680583680,
RESCUE,"@DZMMTeleRadyo pkicontact po san anton, san leonardo, nueva ecija. Hanggang hita n po baha,nsa 2nd floor n sila. Pakirescue po tita namin. https://twitter.com/LESLiE_LESLiE_/status/655758625596571648",
RESCUE,@charloteventosa May nagfflashlight pa po sa may Aduas. _�� Please rescue them. Nasa roof din po sila. _�� #RescuePH,
RESCUE,"@leslie_leslie_ @DZMMTeleRadyo pkicontact po san anton, san leonardo, nueva ecija. Hanggang hita n po baha,nsa 2nd floor n sila. Pakirescue po tita namin.",
RESCUE,May nagfflashlight pa po sa may Aduas. _�� Please rescue them. Nasa roof din po sila. _�� #RescuePH https://twitter.com/CharloteVentosa/status/655760658814767104,
RESCUE,"Need rescuers ASAP! Villa Benita Cabanatuan City. Nasa bubong na po mga tao, please help! #LandoPH #AldenMaidenForAdultPlus Retweet please https://twitter.com/Aquialeeross/status/655755019031961600",
RESCUE,@philredcross @NDRRMC_OpCen @ProjectAgos #RescuePH Brgy Purok 2 Kalye Moron San Mariano San Antonio Nueva Ecija Armie Alejandro 09062174344 https://twitter.com/allysafariola/status/655762452865380352,
RESCUE,@NDRRMC_OpCen @ProjectAgos @philredcross #RescuePH #LandoPH Jennica 09273377646 Anne 09272879979 pic.twitter.com/9GQgQ4oqAg https://twitter.com/masiiing/status/655762717303685120,
RESCUE,"#RescuePH Nick Domingo, 16A Valino St Cab City T - 09263724800 2 adults 1 elderly. On the roof already https://twitter.com/maryeuphrasie/status/655763026772013056",
RESCUE,Please send help two elderly people are still stranded on their roof in Chico St. Villa Benita Subd. @NDRRMC_OpCen @ProjectAgos #RescuePH https://twitter.com/DanieIIeRose/status/655762925706043400,
RESCUE,May nagfflashlight pa po sa may Aduas. _�� Please rescue them. Nasa roof din po sila. _�� #RescuePH https://twitter.com/CharloteVentosa/status/655761544211369985,
RESCUE,"@jonamarano Please retweet. Rescue needed in Valino St. Aduas Cabanatuan City. Family is trapped, aabot na daw po sa 2nd floor ang baha #RescuePH",
RESCUE,"@rapplerdotcom Help needed in 29 Do̱a Narcisa Kapt. Pepe, Cab. City. Name is Annabelle Fajardo with family. #RescuePH #LandoPH. https://twitter.com/kayprot/status/655762621631565825",
RESCUE,Pls rescue at Manga Rd Villa Benita St. Cabanatuan 1st house sa RIGHT nsa 2nd flr sla. Mataahttps://twitter.com/XOXOPIMPIMXOXO/status/655764063356514304 s na tubig sa baba. @NDRRMC_OpCen #RescuePH ,
RESCUE,@ineffable888 paretweet po Need help Villa Benita Cabanatuan City nasa Bubong na po mga tao. ASAP thanks!,
RESCUE,@ineffable888 paretweet po Need help Villa Benita Cabanatuan City nasa Bubong na po mga tao. ASAP thanks!,
RESCUE,@NDRRMC_OpCen #RescuePH Fam. of Joselito Mendoza Blk 1 Lot 20 Sumacab Este #Cabanatuan 09276376636 @projectagos https://twitter.com/NDRRMC_OpCen/status/655766132138315776,
RESCUE,"@eBayanihanTeam  My cousin's family needs rescue at Villa Benita in Cabanatuan City, PLEASE! @eBayanihanTeam eto po mobile niya, di ko alam exact location nila. 09263295796. nasa AUH/UAE po ako. trying to help her and neightbors. ",
RAIN,Heavy rainfall,
RESCUE,"Sana narescue na yung tao/mga tao sa van na tinangay ng baha sa La Fuente, Santa Rosa. #RescuePH https://twitter.com/mikaperida/status/655773195153182720",
RESCUE,"@DickGordonDG  #RescuePH Needs rescue Nick Domingo, 16A Valino St Cab City T - 09263724800 2 adults 1 elderly. On the roof already.",
RESCUE,"@philredcross help pls.. Pls send rescue to 257 sto tomas north, jaen nueva ecija.. Hanggang leeg n dw po baha dun.. Wala din po food.. Plz. https://twitter.com/romarjean/status/655745854360305664",
RESCUE,LA FUENTE SANTA ROSA NUEVA ECIJA NSA BUBONG NA ANG MGA TAO NEED RESCUER TUMATAAS PA ANG BAHA NEED RESCUE MORE THAN 50 PERSON ANG TRAPPED https://twitter.com/RheighG/status/655756790018125825,
RESCUE,"@NDRRMC_OpCen @ProjectAgos Fam. Of Marisa Balondo, Brgy. Sto.cristo Purok uno san antonio nueva ecija 09352173676 #RescuePH #LandoPH https://twitter.com/alcntrncll/status/655777196577951744",
RESCUE,"Paki-rescue po yung lolo and lola ng friend ko sa Villa Benita, Cabanatuan City, kanina pa po sila nasa kisame ng bahay nila. #RescuePH https://twitter.com/mikaperida/status/655778295070392320",
RESCUE,Need rubberboats here in Cabanatuan! Hindi na kaya ng trucks Help ASAP!  #RescuePH #LandoPH @ProjectAgos @NDRRMC_OpCen @ineffable888 https://twitter.com/Aquialeeross/status/655776210769719296,
FLOOD,#RescuePH #LandoPH Cabanatuan bgy Aduas above chest deep water is just north of main city proper. Rescue needed please. https://twitter.com/jvmgrospe/status/655779961047937025,
ROAD,#RescuePH #LandoPH Reports show highways leading to Cabanatuan is unpassable. Pls consider helicopter rescue from Ft. Magsaysay. Thanks https://twitter.com/jvmgrospe/status/655780773690081280,
ROAD,@philredcross @DickGordonDG National Hwy to Cabanatuan is 5ft under. Pls consider sending rescue helicopters from Ft. Magsaysay #LandoPH https://twitter.com/jvmgrospe/status/655772094924361728,
ROAD,Reports from #RescuePH to #RoadClosed,
FLOOD,@eBayanihanTeam @DZMMTeleRadyo @NDRRMC_OpCen @ProjectAgos thank you po! abot na po hanggang bubong yung baha. please help them :( https://twitter.com/andreeeeyaaaa/status/655782258335322112,
BRGY,Moderate winds and heavy rains,
RESCUE,"#LandoPH #RescuePH @philredcross Rescue needed at Bgy Aduana Norte, Cabanatuan City. Thank you.https://twitter.com/jamesdbetito/status/655785341371060224",
RESCUE,"bubong n kmi wla n pong mpupuntahang lugar . Lagpas tao n po ung tubig. napakadami po namin.Fr:Shiela Robles,Jaen,N.E.#RescuePH https://twitter.com/emz_leongson/status/655786859168006144",
RESCUE,@ineffable888 Pls pki report sto cristo san antonio nueva ecija lobat n kmi. Gawi iglesia ni cristo. Iresque nyo kami. Pataas ng ptaas tubig https://twitter.com/mj_banares/status/655780792400908288,
RESCUE,@ineffable888 Pls pki report sto cristo san antonio nueva ecija lobat n kmi. Gawi iglesia ni cristo. Iresque nyo kami. Pataas ng ptaas tubig https://twitter.com/mj_banares/status/655780792400908288,
RESCUE,"@NDRRMC_OpCen #RescuePH felipe deleon 76y/0 at purok 6 lote, brgy tikiw, san antonio nueva ecija Head high flood already please help https://twitter.com/ZetAlluringBasa/status/655786488647446529",
RESCUE,"@jonmarano: Please retweet. Rescue needed in Valino St. Aduas Cabanatuan City. Family is trapped, aabot na daw po sa 2nd floor ang baha #RescuePH https://twitter.com/jonamarano/status/655713940094083072",
RESCUE,"@NDRRMC_OpCen my family trap on this location, flood waist deep and rising pls send #RescuePH contact (09076323548) https://twitter.com/borrofield/status/655785662965116928",
BRGY,TRAINING #AGOSTEST,
RESCUE,@NDRRMC_OpCen @ProjectAgos pls help my family they are stranded in a bridge in bgy inspecto sta rosa nueva ecija #RescuePH https://twitter.com/makmakydeguzman/status/655795593155993600,
FLOOD,Flash Flooding due to creek overflow,
FLOOD,Flash Flooding due to creek overflow,
BRGY,Bauang evacuation centers,
BRGY,Strong winds but no rain,
RESCUE,@ProjectAgos @NDRRMC_OpCen @rapplerdotcom #RescuePH #LandoPH Acropolis North Subd. near NEUST gym and Clubhouse. 09988676727 https://twitter.com/RNdrei_dc/status/655918504281964544,
RESCUE,@NDRRMC_OpCen @philredcross #ResuePH Brgy. San Mariano malapit sa tulay 3 of my students can't be contacted. Please send rescue. https://twitter.com/happyhopeeeee/status/655915641598119937,
RESCUE,"my friend still needs rescue. still on their roof. Jerome Dulay, 817A Valino St, Aduas Sur, Cab City T-09178575814 #RescuePH @NDRRMC_OpCenhttps://twitter.com/maryeuphrasie/status/655933730083618816",
RESCUE,"my friend still needs rescue. still on their roof. Jerome Dulay, 817A Valino St, Aduas Sur, Cab City T-09178575814 #RescuePH @NDRRMC_OpCen https://twitter.com/maryeuphrasie/status/655933730083618816",
RESCUE,@ProjectAgos @NDRRMC_OpCen Brngy gomez sta rosa NE po wla n po slang tbig at pgkain nsa bubong pdn po sla 09067261119  #RescuePH #LandoPHhttps://twitter.com/annadlegaspi/status/655922702109114368,
RESCUE,"My relatives in san leonardo, N.E. Need chopper. Nasa bubong na lang sila. Last contact was at 7pm. Couldnt reach them anymore #RescuePHhttps://twitter.com/gumoffire/status/655900974041575424",
RESCUE,@NDRRMC_OpCen @ProjectAgos Please help the people of Cabanatuan. Brgy Aduas! People are on top of their roof! #RescuePH  #LandoPH https://twitter.com/DjamilaAnne/status/655854150274551808,
RESCUE,@JmsMNL  Madeleine dela Cruz 09351466594 1st st.corner 13st. Kapitan pepe phase II cab. City Cabanatuan - FB #RescuePH https://twitter.com/thonyhere/status/655853082476068865,
RESCUE,"my friend still needs rescue. still on their roof. Jerome Dulay, 817A Valino St, Aduas Sur, Cab City T-09178575814 #RescuePH @NDRRMC_OpCen https://twitter.com/maryeuphrasie/status/655933730083618816",
RESCUE,Pls rescue my family at sto tomas jaen.. @ABSCBNNews @gmanews @NDRRMC_OpCen  #RescuePHRE https://twitter.com/pnxterR/status/655855861886152704,
RESCUE,Pls rescue my family at sto tomas jaen.. @ABSCBNNews @gmanews @NDRRMC_OpCen  #RescuePHRE https://twitter.com/pnxterR/status/655855861886152704,
RESCUE,Pls rescue my family at sto tomas jaen.. @ABSCBNNews @gmanews @NDRRMC_OpCen  #RescuePHRE https://twitter.com/pnxterR/status/655855861886152704,
RESCUE,"person needs rescue. still on their roof. Jerome Dulay, 817A Valino St, Aduas Sur, Cab City T-09178575814",
RESCUE,"my friend still needs rescue. still on their roof. Jerome Dulay, 817A Valino St, Aduas Sur, Cab City T-09178575814 #RescuePH @NDRRMC_OpCen https://twitter.com/maryeuphrasie/status/655933730083618816 ",
RESCUE,"Barangay Baculod, City of Ilagan, Isabela  Photo by LGU MyCity Ilagan  #LandoPH #RescuePH #ReliefPH  Citizens'... fb.me/2PjLQZ5S5 https://twitter.com/rfpmalayao/status/655942924052647936",
RESCUE,"BIAY STA. CRUZ, ZAMBALES now under water, my hometown & my family asking for HELP. Here's KGWD status pic.twitter.com/tjgBBNSmGI https://twitter.com/Lhornz_08/status/655805890759528448",
RESCUE,RT @charisse916: @NDRRMC_OpCen #RescuePH Pls help NELSON TUMIBAY 177 valino st aduas cabanatuan city Trapped sa bubong ng bahay @ProjectAgos https://twitter.com/NDRRMC_OpCen/status/655946498081976321,
BROWNOUT,"RT @twitter_ph: Biay, Sta Cruz, Zambales needs big trucks for #rescueph No electricity @NDRRMC_OpCen  twitter.com/Lhornz_08/stat��_ @ProjectAgos https://twitter.com/NDRRMC_OpCen/status/655945185680039936",
RESCUE,@philredcross please help my family!! #RescuePH #LandoPH pic.twitter.com/EH5q12ws7wRE https://twitter.com/makmakydeguzman/status/655822803036274688,
RESCUE,"Need Rescue, due to landslide. Purok 8, kias baguio city. 09462464928. 20 people, kids, pregnant woman. #RescuePH @NDRRMC_OpCen #LandoPH https://twitter.com/sidalumbro/status/655953563768655872",
RESCUE,"Need Rescue, due to landslide. Purok 8, kias baguio city. 09462464928. 20 people,  kids, pregnant woman. #RescuePH @NDRRMC_OpCen #LandoPH https://twitter.com/sidalumbro/status/655953563768655872",
RESCUE,"Stranded due to #LandoPH 8AM Oct19 areas affected in NCR,C.Visayas,S.Tagalog, Bicol,N.E.Luzon,Palawan&W.Visayas pax6203,ves59,mbca54,roro273 https://twitter.com/PhilCoastGuard1/status/655928921888698369",
RESCUE,"@craysamc san anton,san leonardo, n.e, contact no 09294750367, vilma flores,jon mariano,lubog pa rin baha.pinsan nila ako. #RescuePH https://maps.google.com/maps?q=Paniqui%2C%20Central%20Luzon%2C%20Republika%20ng%20Pilipinas&z=12",
EVACUATE,"Glen Mariano �ۏ@gumoffire  2m2 minutes ago Paniqui, Central Luzon @craysamc san anton,san leonardo, n.e, contact no 09294750367, vilma flores,jon mariano,lubog pa rin baha.pinsan nila ako. #RescuePH",
FLOOD,"@craysamc san anton,san leonardo, n.e, contact no 09294750367, vilma flores,jon mariano,lubog pa rin baha.pinsan nila ako. #RescuePH https://maps.google.com/maps?q=Paniqui%2C%20Central%20Luzon%2C%20Republika%20ng%20Pilipinas&z=12",
RESCUE,@Rodveg72 @dzbb Sir yung mga kapamilya namin nasa Sto.Tomas South Jaen.. Please pde po nyo macheck? Salamat po https://twitter.com/pnxterR/status/655945201890934784,
RESCUE,"@philredcross family Maningas, Mallare, and Badiola. Brgy. San Mariano Sta. Rosa. Info relied by classmates. Last contact 12mn. #RescuePH",
RESCUE,"Joanne �ۏ@happyhopeeeee  3m3 minutes ago @philredcross family Maningas, Mallare, and Badiola. Brgy. San Mariano Sta. Rosa. Info relied by classmates. Last contact 12mn",
RELIEF,Thomas Stickney �ۏ@TomTwitch91  1h1 hour ago @ShimrahV: No.23 purok 1 brgy. Calawagan cabanatuan city nueva ecija - Family in NEED of FOOD! #ReliefPH,
RAIN,,
RESCUE,"#RescuePH San Antonio, Nueva Ecija. Some of my friends are stranded due to flood. Please help them #LandoPH https://twitter.com/goysmarasigan/status/655751323376181249",
RESCUE,#LandoPH #RescuePH @NDRRMC_OpCen @philredcross Kamusta po ang Cecilia Village 2 sa Cabanatuan? Di na po kc macontact c Carolina Casta̱eda https://twitter.com/KittyManalo/status/655967818576363520,
RESCUE,"RT: Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.. #RescuePH https://twitter.com/JenABueno/status/655984586720018432",
RESCUE,"Genevieve A. Bueno @JenABueno RT: Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.. #RescuePH https://twitter.com/JenABueno/status/655984586720018432",
RESCUE,"Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.. #RescuePH https://twitter.com/JenABueno/status/655984586720018432",
RESCUE,"San Anton, San Leonardo,Nueva Ecija.lagpas tao na po ung paligid.parescue po sana.Matanda po & 1 bata.Irene Domingo Habaluyas #RescuePH https://twitter.com/JenABueno/status/655986543803281410",
RESCUE,"RT: San Anton, San Leonardo,Nueva Ecija.lagpas tao na po ung paligid.parescue po sana.Matanda po & 1 bata.Irene Domingo Habaluyas #RescuePH https://twitter.com/JenABueno/status/655986543803281410",
FLOOD,Jessie Gervacio @ilovejhezzg As of 1:30 lubog pa din ang mga kalsada sa Brgy. Mangino Gapan City Nueva Ecija. @YouScoop #LandoPH pic.twitter.com/tNwnQavIfg https://twitter.com/ilovejhezzg/status/655989694442815488,
RESCUE,"Guys, i need your prayers and if you know people who can rescue my family in Julo, San Antonio Nueva Ecija please message me. https://m.facebook.com/story.php?story_fbid=10205369263331187&id=1237013966",
FLOOD,"Cates Balagot-Sales @cates12 La Paz Tarlac to SCTEX road is unpassable, take Victoria Rd. Tarlac then turn left to Quezon st. #Floodph https://twitter.com/cates12/status/655998678763638784",
RESCUE,"@Viyangrace marami pong nangagailangan ng rescue sa bayan ng Mangatarem, Pangasinan dahil lubog na po sa baha ang bayan #rescuePH https://twitter.com/iamElijahReyes/status/656002713700855808",
RESCUE,"#RescuePH San Antonio, Nueva Ecija. Some of my friends are stranded due to flood. Please help them #LandoPH https://twitter.com/goysmarasigan/status/655751323376181249",
RESCUE,"Joanne �ۏ@happyhopeeeee  @philredcross family Maningas, Mallare, and Badiola. Brgy. San Mariano Sta. Rosa. Info relied by classmates. Last contact 12mn. 09225362107 #RescuePH",
RESCUE,"D E N I S E �ۏ@deextraordinary  3m3 minutes ago @GMANewsOnline @philredcross Brgy. Caudillo,Cabanatuan City needs help sobrang lubog po yung buong brgy di pa daw po yun napapasok ng rescue",
LANDSLIDE,Michael Emilio L. Serrano: ATM 4hrs stranded at caranglan nueva ecija due to landslide  #LandoPH #RescuePH fb.me/6WDBa3jg5 https://twitter.com/rfpmalayao/status/655972920091475968,
RESCUE,Philip Kapitula �ۏ@Philcub Im trying to track down my mother.  last known address Mabini st Santor Bongabon Nueva Ecija Philippines #FloodPH #Koppu #LandoPH https://twitter.com/Philcub/status/655851296419766273,
FLOOD,Flooding on the Pampanga River just north of Cabanatuan city after #typhoon #LandoPH #Koppu pic.twitter.com/GHQbSnFA4P https://twitter.com/EarthUncutTV/status/655660662522142720,
BROWNOUT,"Still no electricity in Baler, Auroro #LandoPH #Koppu pic.twitter.com/10bul7x9mE https://twitter.com/ADRA_ph/status/655980774575857665",
BRGY,"No rain, moderate winds",
FLOOD,"Creek in San Miguel, Bulacan. Water is inches below the hiway. Note the houses in the background.  #LandoPH @gmanews pic.twitter.com/aNb0lSd8YA https://twitter.com/tinapperez/status/655990081992323072",
RESCUE,"@Viyangrace marami pong nangagailangan ng rescue sa bayan ng Mangatarem, Pangasinan dahil lubog na po sa baha ang bayan #rescuePH",
RESCUE," Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.",
RESCUE,RT @charisse916: @NDRRMC_OpCen #RescuePH Pls help NELSON TUMIBAY 177 valino st aduas cabanatuan city Trapped sa bubong ng bahay @ProjectAgos,
RESCUE,"Need Rescue, due to landslide. Purok 8, kias baguio city. 09462464928. 20 people,  kids, pregnant woman. #RescuePH @NDRRMC_OpCen #LandoPH",
RESCUE,"RESCUE NEEDED @ProjectAgos 09176539878 Sev Galzote. Caliswang Banog Norte, Bani Pangasinan, lagpas balikat, may matatandang kasama #RescuePH ",
RESCUE,RT @ellisepascua: pls help rescue families in tikiw san antonio N.E. in front of tikiw elementary school  @ProjectAgos  #RescuePH,
FLOOD,FLOOD,
FLOOD,The Cabiao and Pampanga river have overflowed. All residents that could be affected must evacuate immediately. #LandoPH #RescuePH https://twitter.com/DickGordonDG/status/655970508626771968,
BRGY,TRAINING #AGOSTEST,
RESCUE,Michael Emilio L. Serrano: ATM 4hrs stranded at caranglan nueva ecija due to landslide  #LandoPH #RescuePH fb.me/6WDBa3jg5 https://twitter.com/rfpmalayao/status/655972920091475968,
LANDSLIDE,Randy Felix Malayao �ۏ@rfpmalayao Michael Emilio L. Serrano: ATM 4hrs stranded at caranglan nueva ecija due to landslide,
RESCUE,"RT @GhieTorresAcuna: @ProjectAgos until now wala pa din rescue kila lola #500 prk 1, brgy Julo Sn antonio NueVA Ecija ",
BROWNOUT,2days walang kuryente at net. _�� Ahon Nueva Ecija! _��_ #LandoPH https://twitter.com/preinanierp/status/655980925914714112,
RESCUE,Pls pki report sto cristo san antonio nueva ecija lobat n kmi. Gawi iglesia ni cristo. Iresque nyo kami. Pataas ng ptaas tubig https://twitter.com/mj_banares/status/655780792400908288,
RESCUE,Pls pki report sto cristo san antonio nueva ecija lobat n kmi. Gawi iglesia ni cristo. Iresque nyo kami. Pataas ng ptaas tubig https://twitter.com/mj_banares/status/655780792400908288,
LANDSLIDE,ATM 4hrs stranded at caranglan nueva ecija due to landslide https://www.facebook.com/michael.e.serrano/posts/10206832941216035,
BRGY,"On-off rain in Carmona, Cavite and Bi̱an, Laguna",
RESCUE,"@gmanews #RescuePH San Anton, San Leonardo, Nueva Ecija. 2nd floor na po sila. May pre-school student po silang kasama dun. Nene 09758555704 https://twitter.com/JenABueno/status/655983682814013441",
RESCUE,"RT: Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.. https://twitter.com/JenABueno/status/655984586720018432",
RESCUE,"RT: San Anton, San Leonardo,Nueva Ecija.lagpas tao na po ung paligid.parescue po sana.Matanda po & 1 bata.Irene Domingo Habaluyas #RescuePH https://twitter.com/JenABueno/status/655986543803281410",
RESCUE,"RT: Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.. #RescuePH",
FLOOD,"@GMANewsOnline at Mabini, Pangasinan. Badly in need of  attention and food from govt now! #LandoPH pic.twitter.com/pQY0kzt1HJ https://twitter.com/kerrrussell/status/655986265603502080",
RELIEF,"Jamela Alindogan @jamelaaisha Jack Jacinto inspects his house,lost all crops too. Pls send aid, just food supply for 2days  #Koppu #LandoPH pic.twitter.com/4VlIfr4ibz",
FLOOD,"Massive floods have yet to subside in Brgy. Aduas, Cabanatuan. #LandoPH (Photos via @raphbosano) pic.twitter.com/26lb4idqMO https://twitter.com/ConceptGrp/status/655975443439325184",
FLOOD,Jessie Gervacio �ۏ@ilovejhezzg  As of 1:30 lubog pa din ang mga kalsada sa Brgy. Mangino Gapan City Nueva Ecija. @YouScoop #LandoPH ,
FLOOD,@eBayanihanTeam not sure po pero may info kanina am na waist deep na lang daw po ung tubig. Monitoring na lang po na hindi na tumaas ang h20,
FLOOD,"632 Brgy San Mariano, San Antonio, Nueva Ecija. Jennica 09273377646 pls they really need help may ksama pa sila bata. Thank you",
FLOOD,Danielle Castillo@DanielleRose Please send help two elderly people are still stranded on their roof in Chico St. Villa Benita Subd. @NDRRMC_OpCen @ProjectAgos #RescuePH,
FLOOD,The rains have stopped but the floods are deep - Cabanatuan  this morning #Koppu #LandoPH pic.twitter.com/CQUnIEI0G9 https://twitter.com/davidshukmanbbc/status/655988680662757376,
EARTHQUAKE,ARSANS EVACUATE THE ATENEO DORMS. NOW IN CERVINI FIELD,
RESCUE,"San Anton, San Leonardo,Nueva Ecija.lagpas tao na po ung paligid.parescue po sana.Matanda po & 1 bata.Irene Domingo Habaluyas #RescuePH",
RESCUE," Please rescue brgy. samon purok 5, cabanatuan city. contact num ng rescue 09192317325 grace laureano.. please help.. urgent.",
FLOOD,"Jack Jacinto inspects his house,lost all crops too. Pls send aid, just food supply for 2days  #Koppu #LandoPH https://twitter.com/jamelaaisha/status/655975180016025600 ",
RESCUE,Michael Emilio L. Serrano: ATM 4hrs stranded at caranglan nueva ecija due to landslide,
RESCUE,Kris Manalo @kringkringako Pls check on brgy. Sn antonio pantalan cabiao NE. Cant contact my family as of yet. their phones cannot be reached. Nancy Manalo. Lazatin manalo. https://twitter.com/kringkringako/status/656006005050900480,
RESCUE,"@Viyangrace marami pong nangagailangan ng rescue sa bayan ng Mangatarem, Pangasinan dahil lubog na po sa baha ang bayan #rescuePH",
RESCUE,RT @KixQuicoy: May kaibigan po ako sa may Papaya San antonio Nueva Ecija bobong na lng kita sa mga bhay #RescuePH @ProjectAgos,
